"","Env","DF","BI","BI","SI","SI","EI","EI","CI","CI","MI","MI","PPI","PPI","MI25","MI25","sigmaMI","sigmaMI","sigmaMI25","sigmaMI25","PPI.1","PPI.1","SR","SR","rarefy","rarefy","H","H","D","D","J","J","H1","H1","N","N","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2","Tylenchidae","Tylenchidae","Aphelenchidae","Aphelenchidae","Hoplolaimidae","Hoplolaimidae","Cephalobidae","Cephalobidae","Plectidae","Plectidae","Telotylenchidae","Telotylenchidae","Rhabditidae","Rhabditidae","Aporcelaimidae","Aporcelaimidae","Aphelenchoididae","Aphelenchoididae","Panagrolaimidae","Panagrolaimidae"
"","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"","age_class","3","0.44","0.931","2.48","0.478","12.41","0.006","3.67","0.3",NA,NA,"10.66","0.014","1.86","0.603","11.67","0.009","6.94","0.074","11.55","0.009",NA,NA,"21","0","27.19","0","29.59","0","37.87","0","25.39","0","3.61","0.306","10.71","0.013","2.25","0.523","7.07","0.008","0.33","0.955","1.96","0.581","3.64","0.303","10.59","0.014","5.98","0.113","4.37","0.224","15.36","0.002","9.57","0.023","1.06","0.788","2.78","0.427","19.97","0","4.45","0.217",NA,NA,NA,NA,NA,NA
"","samcam","1","10.88","0.001","1.44","0.23","2.65","0.103","0.62","0.431","4.47","0.034",NA,NA,"15.14","0","13.49","0","11.12","0.001",NA,NA,"5.34","0.021","0.78","0.378","1.37","0.241","2.01","0.156","6.58","0.01","1.44","0.229","1.1","0.295","0.06","0.803","17.08","0",NA,NA,"4.33","0.038","8.2","0.004","0.26","0.612",NA,NA,"3.96","0.046","0.01","0.919",NA,NA,"10.81","0.001","11.29","0.001","0.12","0.734","5.64","0.018","0.7","0.403",NA,NA,NA,NA,NA,NA
"","age_class:samcam","3","13.38","0.004",NA,NA,"8.97","0.03",NA,NA,NA,NA,NA,NA,"12.48","0.006","9.95","0.019","14.16","0.003",NA,NA,NA,NA,"18.64","0","27.55","0","27.62","0","41.84","0","26.63","0","7.66","0.054","21.48","0","32.73","0",NA,NA,"10.85","0.013","31.82","0","23.59","0",NA,NA,"23.18","0",NA,NA,NA,NA,"29","0","30.47","0","8.34","0.039","16.16","0.001","9.25","0.026",NA,NA,NA,NA,NA,NA
"","B_Sp_young 2","B_Sp_young","3.16"," a ",NA,NA,"4.2"," a ",NA,NA,NA,NA,"1.27"," ab","1.23"," a ","1.19"," abc  ","1.25"," ab  ","0.73"," ab",NA,NA,"2.37"," ab  ","1"," ab  ","0.55"," ab ","0.54"," ab    ","1.88"," ab  ","1004.32"," ab","34.43"," ab  ","368.52"," a ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","C_Sp_int1 2","C_Sp_int1","3.26"," a ",NA,NA,"4.2"," a ",NA,NA,NA,NA,"0.85"," a ","1.2"," a ","1.1"," a    ","1.21"," a c ","0.52"," a ",NA,NA,"2.52"," a c ","1.09"," a c ","0.6"," a  ","0.61","   c   ","2.12"," a c ","872.46"," ab","172.62","   cd","397.37"," a ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","D_Sp_int2 2","D_Sp_int2","3.24"," a ",NA,NA,"4.15"," a ",NA,NA,NA,NA,"1.15"," ab","1.26"," a ","1.15"," ab d ","1.29"," abcd","0.68"," a ",NA,NA,"2.29","  b d","0.95","  b  ","0.53","  b ","0.51"," a  d  ","1.77","  b  ","1802.52"," ab","108.45","   cd","436.03"," a ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","E_Sp_old 2","E_Sp_old","3.13"," a ",NA,NA,"3.64","  b",NA,NA,NA,NA,"1.75","  b","1.28"," a ","1.34","   c e","1.35","  b d","1.12","  b",NA,NA,"2.16","    d","0.74","    d","0.38","   c","0.36","     e ","1.39","    d","1661.92"," ab","61.21"," abc ","208.92"," ab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","B_Sp_young 4","2","2.34","  b",NA,NA,"3.96"," ab",NA,NA,"1.13"," a ",NA,NA,"1.49","  b","1.28","    de","1.33","   cd",NA,NA,"2.44"," a ","2.42"," abc ","0.96","  b  ","0.52","  b ","0.5","    d  ","1.79","  b  ","801.88"," a ","27.16"," a   ","117.8","  b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","C_Sp_int1 4","4","3.65"," a ",NA,NA,"3.89"," ab",NA,NA,"1.23","  b",NA,NA,"1.21"," a ","1.22","  bcde","1.22"," abcd",NA,NA,"2.55","  b","2.4"," abc ","1.04"," abc ","0.57"," ab ","0.56","  b   f","1.98"," abc ","1100.79"," ab","152.09","  bcd","309.59"," ab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","D_Sp_int2 4","2","3.24"," a ",NA,NA,"4.05"," ab",NA,NA,"1.13"," a ",NA,NA,"1.28"," a ","1.2"," abcde","1.24"," abcd",NA,NA,"2.44"," a ","2.53","   c ","1.13","   c ","0.61"," a  ","0.6","   c  f","2.2","   c ","1013.24"," ab","116.17","  bcd","311.89"," ab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","E_Sp_old 4","4","3.34"," a ",NA,NA,"3.98"," ab",NA,NA,"1.23","  b",NA,NA,"1.27"," a ","1.36","     e","1.31"," abcd",NA,NA,"2.55","  b","2.45"," a c ","1.02"," abc ","0.55"," ab ","0.54"," ab d  ","1.94"," ab  ","2411.48","  b","218.72","    d","472.66"," a ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fam","XX","XX","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin","negbin"
