"","Env","DF","BI","BI","SI","SI","EI","EI","CI","CI","MI","MI","PPI","PPI","MI25","MI25","sigmaMI","sigmaMI","sigmaMI25","sigmaMI25","PPI.1","PPI.1","SR","SR","rarefy","rarefy","H","H","D","D","J","J","H1","H1","N","N","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2","Tylenchidae","Tylenchidae","Aphelenchidae","Aphelenchidae","Hoplolaimidae","Hoplolaimidae","Cephalobidae","Cephalobidae","Plectidae","Plectidae","Telotylenchidae","Telotylenchidae","Rhabditidae","Rhabditidae","Aporcelaimidae","Aporcelaimidae","Aphelenchoididae","Aphelenchoididae","Panagrolaimidae","Panagrolaimidae"
"","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"","age_class","3","0.44","0.931","2.48","0.478","12.41","0.006","3.67","0.3",NA,NA,"10.66","0.014","1.86","0.603","11.67","0.009","6.94","0.074","11.55","0.009",NA,NA,"21","0","27.19","0","29.59","0","37.87","0","25.39","0","5.59","0.134","5.73","0.126","4.66","0.199","2.55","0.466","1.42","0.7","4.38","0.224","4.42","0.219","12.2","0.007","7.23","0.065","7.12","0.068","6.86","0.076","9.81","0.02","1.64","0.65","5.46","0.141","14.92","0.002","10.01","0.019","14.39","0.002","20.5","0","6.7","0.082"
"","samcam","1","10.88","0.001","1.44","0.23","2.65","0.103","0.62","0.431","4.47","0.034",NA,NA,"15.14","0","13.49","0","11.12","0.001",NA,NA,"5.34","0.021","0.78","0.378","1.37","0.241","2.01","0.156","6.58","0.01","1.44","0.229","38.08","0","12.71","0","333.39","0","75.38","0","55.85","0","109.13","0","12.52","0","0.26","0.608","46.58","0","35.3","0","0.37","0.544","224.89","0","158.73","0","0.01","0.936","261.63","0","24.7","0","143.85","0","10.33","0.001","277.41","0"
"","age_class:samcam","3","13.38","0.004",NA,NA,"8.97","0.03",NA,NA,NA,NA,NA,NA,"12.48","0.006","9.95","0.019","14.16","0.003",NA,NA,NA,NA,"18.64","0","27.55","0","27.62","0","41.84","0","26.63","0","1189.36","0","235.26","0","746.08","0","83.54","0","88.23","0","867.5","0","920.15","0","751.01","0","1059.24","0","847.37","0","198.3","0","298.1","0","325.1","0","140.86","0","1097.66","0","628.95","0","217.05","0","82.7","0","279.96","0"
"","B_Sp_young 2","B_Sp_young","3.16"," a ",NA,NA,"4.2"," a ",NA,NA,NA,NA,"1.27"," ab","1.23"," a ","1.19"," abc  ","1.25"," ab  ","0.73"," ab",NA,NA,"2.37"," ab  ","1"," ab  ","0.55"," ab ","0.54"," ab    ","1.88"," ab  ","963.52"," abc   ","36.53"," a     ","349.75"," abc ","6.31"," abcd      ","39.42"," abcdefgagb    ","108.27"," abcde ","183.8"," abc     ","477.83"," ab ","155.81"," ab    ","68.52"," ab      ","9.09"," a     ","147.13"," abcd        ","189.89"," abcdefgagb  ","21.98"," abcde","12.12"," a    ","50.59"," abc  ","2.64"," a ","4.51"," a  ","73.62"," ab   "
"","C_Sp_int1 2","C_Sp_int1","3.26"," a ",NA,NA,"4.2"," a ",NA,NA,NA,NA,"0.85"," a ","1.2"," a ","1.1"," a    ","1.21"," a c ","0.52"," a ",NA,NA,"2.52"," a c ","1.09"," a c ","0.6"," a  ","0.61","   c   ","2.12"," a c ","784.88"," a  d  ","174.28","  bc   ","373.43"," abc ","5.79"," a c ef    ","23.99"," ab d f    gc  ","124.34"," abc   ","123.31"," ab de   ","250.25"," a  ","321.02"," a cd  ","122.71"," a cde   ","83.99","  bcde ","11.21"," a   ef      ","177.92"," ab d f      ","4.05"," a    ","61.79","  bc  ","35.27"," a  de","2.42"," a ","76.44","  b ","75.02"," a    "
"","D_Sp_int2 2","D_Sp_int2","3.24"," a ",NA,NA,"4.15"," a ",NA,NA,NA,NA,"1.15"," ab","1.26"," a ","1.15"," ab d ","1.29"," abcd","0.68"," a ",NA,NA,"2.29","  b d","0.95","  b  ","0.53","  b ","0.51"," a  d  ","1.77","  b  ","1770.06","  b  e ","108.29"," abcde ","434.6"," a   ","15.88"," ab  e ga  ","55.16"," a cde         ","321.46"," a     ","246.22"," a cd fga","1127.46","   c","489.34","   c e ","438.78","   c     ","45.06","  bc  f","5.07","     e ga    ","224.2"," a cde       ","42.94","  bc  ","234.03","    d ","123.82","  b   ","31.7","  b","58.07","  b ","5.04","   cd "
"","E_Sp_old 2","E_Sp_old","3.13"," a ",NA,NA,"3.64","  b",NA,NA,NA,NA,"1.75","  b","1.28"," a ","1.34","   c e","1.35","  b d","1.12","  b",NA,NA,"2.16","    d","0.74","    d","0.38","   c","0.36","     e ","1.39","    d","1758.06","  bc   ","62.3"," ab d f","208.13","  b d","2.56"," a   e     ","60.03"," abc   ga      ","82.59","  b d  ","914.11","   c  f  ","1396.16","   c","145.63"," ab   f","81.7"," ab d f  ","28.24"," ab d f","1235.29","  b          ","150.36"," abc   ga    ","9.8"," ab d ","12.18"," a    ","10.86","    d ","0"," ab","17","   c","30.64"," abc  "
"","B_Sp_young 4","2","2.34","  b",NA,NA,"3.96"," ab",NA,NA,"1.13"," a ",NA,NA,"1.49","  b","1.28","    de","1.33","   cd",NA,NA,"2.44"," a ","2.42"," abc ","0.96","  b  ","0.52","  b ","0.5","    d  ","1.79","  b  ","816.63","    d f","24.01","      f","126.97","    d","21.2","     efgagb","10.38","           gcgd","12.14","      f","157.61","    def  ","486.58"," ab ","66.82","      f","98.99","    defga","10.1"," a    f","67.43","     efgagbgc","74.38","           gc","22.27"," abcde","219.82","  b d ","26.1","    de","28.7","  b","14.63","   c","3.41","    de"
"","C_Sp_int1 4","4","3.65"," a ",NA,NA,"3.89"," ab",NA,NA,"1.23","  b",NA,NA,"1.21"," a ","1.22","  bcde","1.22"," abcd",NA,NA,"2.55","  b","2.4"," abc ","1.04"," abc ","0.57"," ab ","0.56","  b   f","1.98"," abc ","1153.26","  bc ef","146.23","    de ","352.98"," abc ","39.87","  b d  gagb","40.74","   c e gagb  gd","93.25","    de ","121.78"," ab de   ","215.72","  b ","214.56","  b  e ","97.83","  b   fga","84.18","  bcde ","16.51","   c   gagb  ","212.35","   c e gagb  ","11.02","  bcde","35.76"," a   e","95.72","  bc  ","25.33","  b","18.86","   c","15.9","  bcde"
"","D_Sp_int2 4","2","3.24"," a ",NA,NA,"4.05"," ab",NA,NA,"1.13"," a ",NA,NA,"1.28"," a ","1.2"," abcde","1.24"," abcd",NA,NA,"2.44"," a ","2.53","   c ","1.13","   c ","0.61"," a  ","0.6","   c  f","2.2","   c ","1000.52"," a cd f","113.5","  bcde ","294.69","  bc ","32.07","   cd f  gb","76.4","  b   fgagb    ","157.59","  bcde ","54.61","  b  e   ","433.26"," ab ","288.94"," ab d  ","197.4"," ab defga","75.49","    de ","38.54"," a c  f  gb  ","183.67","  b   fgagb  ","28.98","    de","37.64"," a c e","44.13"," a c e","34.22","  b","32.26","   c","11.13"," ab  e"
"","E_Sp_old 4","4","3.34"," a ",NA,NA,"3.98"," ab",NA,NA,"1.23","  b",NA,NA,"1.27"," a ","1.36","     e","1.31"," abcd",NA,NA,"2.55","  b","2.45"," a c ","1.02"," abc ","0.55"," ab ","0.54"," ab d  ","1.94"," ab  ","2246.44","     e ","212.98","   c e ","451.18"," a c ","66.65","       gagb","75.44","    def  gb    ","317.84"," a c e ","1144.39","       ga","1368.87","   c","534.49","   cd  ","315.47","   c e ga","174.11","   c e ","979.54","    d      gc","282.27","    def  gb  ","53.56","   c e","64.96","  bc e","108.59"," abc  ","28.72","  b","21.25","   c","0"," abcde"
"fam","XX","XX","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","lognormal","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson"
