"","Env","DF","BI","BI","SI","SI","EI","EI","CI","CI","MI","MI","PPI","PPI","MI25","MI25","sigmaMI","sigmaMI","sigmaMI25","sigmaMI25","PPI.1","PPI.1","SR","SR","rarefy","rarefy","H","H","D","D","J","J","H1","H1","N","N","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2","Tylenchidae","Tylenchidae","Aphelenchidae","Aphelenchidae","Hoplolaimidae","Hoplolaimidae","Cephalobidae","Cephalobidae","Plectidae","Plectidae","Telotylenchidae","Telotylenchidae","Rhabditidae","Rhabditidae","Aporcelaimidae","Aporcelaimidae","Aphelenchoididae","Aphelenchoididae","Panagrolaimidae","Panagrolaimidae"
"","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"","age_class","3","5.31","0.15","2.03","0.565","11.03","0.012","4.66","0.198",NA,NA,"9.17","0.027","1.8","0.614","11.85","0.008","6.95","0.073","10.79","0.013",NA,NA,"20.42","0","26","0","29.46","0","36.8","0","22.09","0","3.96","0.265","6.07","0.108","3.87","0.276",NA,NA,"1.57","0.666","2.39","0.495","4.48","0.214","11.29","0.01","5.51","0.138","5.01","0.171",NA,NA,"10.44","0.015","1.76","0.624","4.57","0.206","12.7","0.005","12.48","0.006","14.08","0.003","9.78","0.02","4.51","0.211"
"","samcam","1","0.23","0.632","1.2","0.273","2.48","0.115","1.25","0.264","4.21","0.04",NA,NA,"16.96","0","14.43","0","11.95","0.001",NA,NA,"5.29","0.021","0.99","0.32","1.45","0.229","2.33","0.127","6.66","0.01","1.08","0.299","1.17","0.279","0.7","0.403","10.85","0.001","9.92","0.002","0.06","0.813","12.41","0","0.45","0.5",NA,NA,"8.07","0.005","3.16","0.076","6.01","0.014","5.04","0.025","10.11","0.001","0.03","0.86","4.68","0.031","1.13","0.287","4.5","0.034","2.77","0.096","14.21","0"
"","age_class:samcam","3",NA,NA,NA,NA,"7.78","0.051",NA,NA,NA,NA,NA,NA,"14.08","0.003","10.05","0.018","15.41","0.001",NA,NA,NA,NA,"19","0","27.04","0","27.82","0","40.58","0","23.46","0","8.73","0.033","12","0.007","13.85","0.003",NA,NA,NA,NA,"14.46","0.002","13.73","0.003",NA,NA,"14.35","0.002","8.44","0.038",NA,NA,"12.6","0.006","13.12","0.004","10.04","0.018","13.34","0.004","12","0.007","11.42","0.01","7.68","0.053","15.14","0.002"
"","B_Sp_young 2","B_Sp_young",NA,NA,NA,NA,"66.35"," a ",NA,NA,NA,NA,"2.84"," ab","2.43"," a ","2.3"," abc  ","2.52"," ab  ","1.13"," a ",NA,NA,"9.67"," ab  ","1.71"," ab  ","0.73"," ab ","0.72"," ab    ","5.61"," a   ","971.8"," ab ","32.94"," a  ","356.5"," ab ",NA,NA,NA,NA,"107.72"," ab ","181.33"," abc ","471.32"," ab ","158.4"," a  ","104.65"," abc ",NA,NA,"153.62"," ab  ","190.86"," ab ","20.39"," ab","11.92"," ab  ","47.86"," a ","1.32"," a     ","2.15"," a  ","74.63"," ab "
"","C_Sp_int1 2","C_Sp_int1",NA,NA,NA,NA,"67.53"," a ",NA,NA,NA,NA,"1.54"," a ","2.32"," a ","2.01"," a    ","2.36"," a c ","0.74"," a ",NA,NA,"11.4"," a c ","1.99"," a c ","0.83"," a  ","0.84","   c   ","7.46","  bc ","855.66"," ab ","169.47","  bc","376.31"," ab ",NA,NA,NA,NA,"111.05"," ab ","121.91"," ab  ","218.93"," a  ","297.53"," ab ","109.32"," abcd",NA,NA,"6.33","   cd","183.42"," ab ","5.32"," a ","66.55"," a cd","45.38"," a ","3.32","  b    ","75.1","  b ","77.72"," a  "
"","D_Sp_int2 2","D_Sp_int2",NA,NA,NA,NA,"62.99"," a ",NA,NA,NA,NA,"2.28"," ab","2.51"," a ","2.17"," ab d ","2.63"," abcd","1.03"," a ",NA,NA,"8.88","  b d","1.58","  b  ","0.7","  b ","0.67"," a  d  ","4.86"," a   ","1755.3"," a c","106.28","  bc","414.32"," ab ",NA,NA,NA,NA,"245.37"," ab ","246.62"," a cd","684.14","  bc","421.58","  b ","550.66","    d",NA,NA,"3.58","   c ","217.58"," ab ","30.25"," ab","167.6","   c ","100.91"," a ","27.85","   c   ","52.8","  bc","6.1","  bc"
"","E_Sp_old 2","E_Sp_old",NA,NA,NA,NA,"37.25","  b",NA,NA,NA,NA,"5.41","  b","2.6"," a ","2.83","   c e","2.85","  b d","2.23","  b",NA,NA,"7.78","    d","1.1","    d","0.47","   c","0.43","     e ","3.04","    d","1590.43"," abc","59.5"," ab ","196.19"," a c",NA,NA,NA,NA,"88.96"," a  ","937.99","   cd","1352.01","   c","151.69"," a  ","87.9"," ab  ",NA,NA,"1132.44"," a   ","128.64"," a c","3.11"," a ","2.76","  b  ","3.02","  b","0"," abcdef","15.66"," abc","30.49"," ab "
"","B_Sp_young 4","2",NA,NA,NA,NA,"53.43"," ab",NA,NA,"2.12"," a",NA,NA,"3.46","  b","2.62","    de","2.8","   cd",NA,NA,"10.58"," a ","10.26"," abc ","1.6","  b  ","0.68","  b ","0.65","    d  ","5.02"," a   ","768.27","  b ","26.21"," a  ","108.81","   c","2.45"," a ",NA,NA,"9.46","   c","159.33"," abc ",NA,NA,"45.18","   c","38.85"," a   ","22.01"," a ","43.94","   cd","58.59","   c","22.66"," ab","238.58","   cd","18.33"," ab","21.13","    d  ","14.43"," abc","1.47","   c"
"","C_Sp_int1 4","4",NA,NA,NA,NA,"48.45"," ab",NA,NA,"2.44"," a",NA,NA,"2.34"," a ","2.41","  bcde","2.4"," abcd",NA,NA,"11.92","  b","10.08"," abc ","1.83"," abc ","0.77"," ab ","0.75","  b   f","6.27"," ab  ","1055.25"," abc","149.82","  bc","279.83"," ab ","34.16","  b",NA,NA,"88.38"," ab ","116.31"," ab  ",NA,NA,"215.97"," ab ","93.2"," abc ","63.73","  b","18.59","  bcd","199.94"," ab ","7.38"," ab","17.04"," ab d","73.13"," a ","20.77","     e ","8.33"," a c","8.15","  bc"
"","D_Sp_int2 4","2",NA,NA,NA,NA,"56.97"," ab",NA,NA,"2.12"," a",NA,NA,"2.6"," a ","2.35"," abcde","2.46"," abcd",NA,NA,"10.58"," a ","11.53","   c ","2.09","   c ","0.83"," a  ","0.83","   c  f","8.1","   c ","985.95","  b ","114.04","  bc","305.17"," ab ","2.45"," a ",NA,NA,"188.84"," ab ","55.29","  b  ",NA,NA,"320.79"," ab ","188.7","  bcd","22.01"," a ","39.5","  b d","186.8"," ab ","31.84"," ab","58.5"," a cd","48.35"," a ","13.04","      f","32.53","  bc","6.68"," abc"
"","E_Sp_old 4","4",NA,NA,NA,NA,"52.82"," ab",NA,NA,"2.44"," a",NA,NA,"2.57"," a ","2.89","     e","2.7"," abcd",NA,NA,"11.92","  b","10.55"," a c ","1.79"," ab  ","0.74"," ab ","0.72"," ab d  ","5.98"," ab  ","2350.5","   c","212.86","   c","454.63","  b ","34.16","  b",NA,NA,"291.83","  b ","1120.15","    d",NA,NA,"518.52","  b ","289.38","   cd","63.73","  b","1053.46"," a   ","298.7","  b ","57.67","  b","69.09"," a cd","101.28"," a ","28.88","   cdef","4.1"," a  ","0"," abc"
"fam","XX","XX","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1"
