"","Env","DF","BI","BI","SI","SI","EI","EI","CI","CI","MI","MI","PPI","PPI","MI25","MI25","sigmaMI","sigmaMI","sigmaMI25","sigmaMI25","PPI.1","PPI.1","SR","SR","rarefy","rarefy","H","H","D","D","J","J","H1","H1","N","N","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2","Tylenchidae","Tylenchidae","Aphelenchidae","Aphelenchidae","Hoplolaimidae","Hoplolaimidae","Cephalobidae","Cephalobidae","Plectidae","Plectidae","Telotylenchidae","Telotylenchidae","Rhabditidae","Rhabditidae","Aporcelaimidae","Aporcelaimidae","Aphelenchoididae","Aphelenchoididae","Panagrolaimidae","Panagrolaimidae"
"","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"","age_class","3","1.18","0.759","1.62","0.655","11.03","0.012","4.38","0.223","2.37","0.499","8.14","0.043","1.8","0.614","11.85","0.008","6.95","0.073","7.78","0.051","2.13","0.547","20.42","0","26","0","29.46","0","36.8","0","25.39","0","3.96","0.265","9.55","0.023","3.87","0.276","2.03","0.566","0.71","0.871","2.39","0.495","4.74","0.192","11.28","0.01","5.98","0.113","12.96","0.005","5.26","0.154","10.44","0.015","1.06","0.788","4.57","0.206","19.97","0","4.45","0.217","14.08","0.003","15.2","0.002","10.26","0.017"
"","samcam","1","3.99","0.046","3.64","0.056","2.48","0.115","1.63","0.202","8.23","0.004","0.58","0.447","16.96","0","14.43","0","11.95","0.001","0","0.987","1.01","0.314","0.99","0.32","1.45","0.229","2.33","0.127","6.66","0.01","1.44","0.229","1.17","0.279","0.93","0.335","10.85","0.001","2.87","0.09","3.29","0.07","12.41","0","0.09","0.768","0.03","0.865","3.96","0.046","0.55","0.458","0.02","0.88","5.04","0.025","11.29","0.001","0.03","0.86","5.64","0.018","0.7","0.403","4.5","0.034","0.42","0.517","7.04","0.008"
"","age_class:samcam","3","6.99","0.072","2.49","0.477","7.78","0.051","1.93","0.587","4.96","0.175","3.65","0.302","14.08","0.003","10.05","0.018","15.41","0.001","4.34","0.227","2.15","0.542","19","0","27.04","0","27.82","0","40.58","0","26.63","0","8.73","0.033","18.75","0","13.85","0.003","2.53","0.471","5.49","0.139","14.46","0.002","7.5","0.058","6.93","0.074","23.18","0","15.73","0.001","2.49","0.477","12.6","0.006","30.47","0","10.04","0.018","16.16","0.001","9.25","0.026","11.42","0.01","8.87","0.031","8.06","0.045"
"","B_Sp_young 2","B_Sp_young",NA,NA,NA,NA,"66.35"," a ",NA,NA,NA,NA,"1.27"," ab","2.43"," a ","2.3"," abc  ","2.52"," ab  ","0.73"," ab",NA,NA,"9.67"," ab  ","1.71"," ab  ","0.73"," ab ","0.72"," ab    ","1.88"," ab  ","971.8"," ab ","59.33"," ab  ","356.5"," ab ",NA,NA,NA,NA,"107.72"," ab ",NA,NA,"471.51"," ab ","173.67"," a  ","144.67"," ab ",NA,NA,"153.62"," ab  ","202.92"," a ","20.39"," ab","12.67"," a  ","52.33"," ab","1.32"," a     ","4"," a  ","86.33"," ab "
"","C_Sp_int1 2","C_Sp_int1",NA,NA,NA,NA,"67.53"," a ",NA,NA,NA,NA,"0.85"," a ","2.32"," a ","2.01"," a    ","2.36"," a c ","0.52"," a ",NA,NA,"11.4"," a c ","1.99"," a c ","0.83"," a  ","0.84","   c   ","2.12"," a c ","855.66"," ab ","189.5","   cd","376.31"," ab ",NA,NA,NA,NA,"111.05"," ab ",NA,NA,"219.56"," a  ","324.27"," ab ","148"," ab ",NA,NA,"6.33","   cd","188.39"," a ","5.32"," a ","72","  bc","59.33"," ab","3.32","  b    ","77","  b ","129"," a  "
"","D_Sp_int2 2","D_Sp_int2",NA,NA,NA,NA,"62.99"," a ",NA,NA,NA,NA,"1.2"," ab","2.51"," a ","2.17"," ab d ","2.63"," abcd","0.72"," ab",NA,NA,"8.88","  b d","1.58","  b  ","0.7","  b ","0.67"," a  d  ","1.77","  b  ","1755.3"," a c","111"," abc ","414.32"," ab ",NA,NA,NA,NA,"245.37"," ab ",NA,NA,"683.19","  bc","494.7","  b ","698.1","   c",NA,NA,"3.58","   c ","226.19"," a ","30.25"," ab","468.34","  b ","154.33"," a ","27.85","   c   ","60","  bc","16","  bc"
"","E_Sp_old 2","E_Sp_old",NA,NA,NA,NA,"37.25","  b",NA,NA,NA,NA,"1.8","  b","2.6"," a ","2.83","   c e","2.85","  b d","1.15","  b",NA,NA,"7.78","    d","1.1","    d","0.47","   c","0.43","     e ","1.39","    d","1590.43"," abc","63.67"," ab  ","196.19"," a c",NA,NA,NA,NA,"88.96"," a  ",NA,NA,"1352.15","   c","157.7"," abc","89"," a  ",NA,NA,"1132.44"," a   ","140.56"," ab","3.11"," a ","15"," a c","14","  b","0"," abcdef","21.33"," a c","38.33","  bc"
"","B_Sp_young 4","2","24.68"," a",NA,NA,"53.43"," ab",NA,NA,"2.12"," a",NA,NA,"3.46","  b","2.62","    de","2.8","   cd",NA,NA,NA,NA,"10.26"," abc ","1.6","  b  ","0.68","  b ","0.65","    d  ","1.79","  b  ","768.27","  b ","39"," a   ","108.81","   c",NA,NA,NA,NA,"9.46","   c",NA,NA,NA,NA,"49.89","   c","209"," ab ",NA,NA,"43.94","   cd","67.76","  b","22.66"," ab","250","  bc","27"," ab","21.13","    d  ","16"," a  ","4","   c"
"","C_Sp_int1 4","4","25.63"," a",NA,NA,"48.45"," ab",NA,NA,"2.44"," a",NA,NA,"2.34"," a ","2.41","  bcde","2.4"," abcd",NA,NA,NA,NA,"10.08"," abc ","1.83"," abc ","0.77"," ab ","0.75","  b   f","1.98"," abc ","1055.25"," abc","159","  bcd","279.83"," ab ",NA,NA,NA,NA,"88.38"," ab ",NA,NA,NA,NA,"228.01"," ab ","118"," ab ",NA,NA,"18.59","  bcd","213.56"," ab","7.38"," ab","41.67"," abc","161"," ab","20.77","     e ","19"," a c","28.39","  bc"
"","D_Sp_int2 4","2","24.68"," a",NA,NA,"56.97"," ab",NA,NA,"2.12"," a",NA,NA,"2.6"," a ","2.35"," abcde","2.46"," abcd",NA,NA,NA,NA,"11.53","   c ","2.09","   c ","0.83"," a  ","0.83","   c  f","2.2","   c ","985.95","  b ","116.33"," abc ","305.17"," ab ",NA,NA,NA,NA,"188.84"," ab ",NA,NA,NA,NA,"333.77"," ab ","252.67"," ab ",NA,NA,"39.5","  b d","191.35"," ab","31.84"," ab","75.33"," abc","55"," ab","13.04","      f","33.33"," a c","35.33","  bc"
"","E_Sp_old 4","4","25.63"," a",NA,NA,"52.82"," ab",NA,NA,"2.44"," a",NA,NA,"2.57"," a ","2.89","     e","2.7"," abcd",NA,NA,NA,NA,"10.55"," a c ","1.79"," ab  ","0.74"," ab ","0.72"," ab d  ","1.94"," ab  ","2350.5","   c","217.67","    d","454.63","  b ",NA,NA,NA,NA,"291.83","  b ",NA,NA,NA,NA,"551.57"," ab ","343.67","  bc",NA,NA,"1053.46"," a   ","305.55"," a ","57.67","  b","80"," abc","140"," ab","28.88","   cdef","26.67"," a c","0","  bc"
"fam","XX","XX","normal","normal","normal","normal","normal","normal","lognormal","lognormal","normal","normal","lognormal","lognormal","normal","normal","normal","normal","normal","normal","lognormal","lognormal","normal","normal","normal","normal","normal","normal","normal","normal","normal","normal","lognormal","lognormal","quasipoisson1","quasipoisson1","normal","normal","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","quasipoisson1","normal","normal","quasipoisson1","quasipoisson1","negbin","negbin","normal","normal","negbin","negbin","quasipoisson1","quasipoisson1","negbin","negbin","quasipoisson1","quasipoisson1","negbin","negbin","negbin","negbin","quasipoisson1","quasipoisson1","normal","normal","normal","normal"
