;Env;Df;N;MI;MI2.5;PPI;summedMI;summedMI2.5;PPI.MI;BI;EI;SI;CI;NCR;SR;rarefy;H;D;J;H1
1;(Intercept);1;19.19;1.25;0.85;6.25;1.78;1.68;1.84;5.98;0.21;0.13;3.84;1.6;0.77;0.9;0.01;0.09;1.55;0.9
2;age_class;4;0.79;4.42;1.67;21.37;4.25;2.87;11.03;3.31;7.03;0.91;2.69;0.25;2.75;3.59;40.14;34.33;31.01;27.1
3;samcam;1;3.08;0.01;0.03;1.76;0.06;0.08;0.62;0.13;0.03;0.07;2.79;1.03;0.03;0.03;0;0;0.46;0.1
4;pH;1;0.01;0.37;0.28;0.93;0.05;0.1;0.88;0.34;0.01;0.36;0.49;0.11;0;0;0.45;0.46;0.54;0.56
5;n;1;1.85;1.44;1.85;7.73;1.7;2.72;0.01;0.69;0.01;1.22;0.45;1.28;0;0;0.8;0.63;0.11;0.23
6;mc;1;3.98;0.17;0.79;0.05;0.14;0.69;0.1;3.74;1.45;0.58;7.06;3.48;0.17;0.07;0.86;0.68;0.07;0.12
7;clay;1;1.71;0.32;0.16;6.19;0.24;0;0.24;1.7;1.54;0.52;0.08;0.49;2.23;2.64;3.43;0.79;3;4.21
8;intensity;1;0.03;3.16;1.23;7.26;0.03;0.4;7.26;0.01;2.56;0.81;0.66;0.53;0.02;0.01;1.34;1.18;0.31;1.37
9;fertilisation;1;0.06;0.01;0.81;1.85;0.23;0.64;0.11;0.66;1.06;0.28;1.79;1.48;0.21;0.1;1.14;1.55;1.99;0.62
10;ata1;1;0.25;0.02;0.77;3.85;0.11;1.39;1.32;7.45;6.44;0.57;5.86;0.48;0.37;0.41;9.72;10.54;4.09;5.37
11;prec1;1;0.01;0.54;1.09;0.41;0.14;0.77;0.39;0.76;0;1.43;0.61;0.37;0.13;0.03;0.1;0;0.01;0.15
12;age_class:samcam;4;1.99;2.45;2.63;5.15;4.33;4.52;1.78;2.96;3.66;0.84;4.16;2.94;2.82;3.69;49.3;45.76;106.01;34.2
