"","Env","Df","N","MI","MI2.5","PPI","summedMI","summedMI2.5","PPI.MI","BI","EI","SI","CI","NCR","SR","rarefy","H","D","J","H1"
"1","(Intercept)","1","14.61","0.6","0.61","4.27","1.16","1.36","2.55","4.98","0.06","0.13","3","0.71","0.39","0.5","0","0.31","1.59","0.97"
"2","age_class","4","0.37","2.86","0.74","20.86","4.71","3.37","10.02","2.52","6.16","0.39","2.02","0.2","2.82","3.78","39.21","32.16","32.46","27.58"
"3","samcam","1","2.27","0.31","0.27","2.35","0.39","0.37","0.21","0.15","0.02","0.34","2.16","0.86","0.01","0.01","0.08","0.51","0.71","0.14"
"4","pH","1","0.06","0.68","0.33","1.53","0.13","0.1","1.39","0.18","0.08","0.4","0.18","0","0.05","0.02","0.36","0.04","0.7","0.63"
"5","c","1","0.76","0.01","0.13","1.09","0","0.29","0.69","0.75","0.53","0.04","2.76","2.63","0.59","0.53","0.27","0.01","0","0.17"
"6","mc","1","3.01","0.77","1.05","0.07","0.54","0.84","0.64","2.73","0.47","0.85","4","1.68","0.7","0.44","0.39","0.04","0.16","0.11"
"7","clay","1","1.5","0.41","0.07","5.51","0.24","0.01","0.24","1.6","1.61","0.35","0.09","0.49","2.36","2.77","3.89","2.02","3.26","4.31"
"8","intensity","1","0.29","1.68","0.47","8.66","0.3","1","7.43","0.09","2.47","0.33","1.31","1.11","0","0","0.75","0.44","0.2","1.21"
"9","fertilisation","1","0.44","0.05","1.13","2.24","0.37","1.07","0.18","1.27","1.24","0.49","3.36","3.17","0.29","0.15","1.85","2.68","2.27","0.93"
"10","ata1","1","0.21","0","0.83","4.13","0.13","1.2","1.18","7.38","6.35","0.61","6.52","0.39","0.49","0.53","8.07","7.07","3.94","5.27"
"11","prec1","1","0","0.89","1.16","0.2","0.27","0.82","0.69","0.75","0.06","1.55","0.32","0.21","0.02","0","0.02","0.14","0","0.13"
"12","age_class:samcam","4","2.18","3.33","3.06","7.06","5.45","4.94","1.63","2.62","4.15","1.19","3.29","2.73","2.38","3.35","56.87","71.98","112.86","35.63"
