ID;Family;FeedingType;c-p;MI/PPI
1;Alaimidae;3;4;MI
2;Anatonchidae;5;4;MI
3;Anguinidae;2;2;MI
4;Aphelenchidae;2;2;MI
5;Aphelenchoididae;2;2;MI
6;Aporcelaimidae;8;5;MI
7;Belondiridae;8;5;MI
8;Cephalobidae;3;2;MI
9;Criconematidae;1d;3;PPI
10;Diphterophoridae;2;3;MI
11;Diplogasteridae;3;1;MI
12;Discolaimidae;5;5;MI
13;Dolichodoridae;1d;3;PPI
14;Hoplolaimidae;1c;3;PPI
15;Leptonchidae;2;4;MI
16;Mesodorylaimus;8;4;MI
17;Mononchidae;5;4;MI
18;Mononchus;5;4;MI
19;Nordiidae;8;4;MI
20;Nygolaimidae;5;5;MI
21;Panagrolaimidae;3;1;MI
22;Plectidae;3;2;MI
23;Pratylenchidae;1b;3;PPI
24;Psilenchidae;1e;2;PPI
25;Qudsianematidae;8;4;MI
26;Rhabditidae;3;1;MI
27;Telotylenchidae;1d;3;PPI
28;Thornenematidae;8;5;MI
29;Tylenchidae;1e;2;PPI
30;unknown;;;
