;"""superID""";"""gravimetric""";"""samcam""";"""field""";"""f.aid"""
1;1;20.32364114;"""F12""";"""DO_2004""";1
2;2;27.73906131;"""F12""";"""HE_2004""";1
3;3;18.61563719;"""F12""";"""DO_2005""";1
4;4;20.88777639;"""F12""";"""DO_2007""";1
5;5;17.56532181;"""F12""";"""EF_2007""";1
6;6;18.23018259;"""F12""";"""PA_2007""";1
7;7;19.76427652;"""F12""";"""DO_2009""";1
8;8;19.82765453;"""F12""";"""EF_2009""";1
9;9;9.649109802;"""F12""";"""PO_2009""";1
10;10;18.869658;"""F12""";"""EF_2011""";1
11;11;28.45068285;"""F12""";"""ND_2011""";1
12;12;11.51778488;"""F12""";"""RO_2011""";1
13;13;20.51520278;"""F12""";"""DO_MaisI""";1
14;14;18.036047;"""F12""";"""ND_Mais""";1
15;15;16.9245502;"""F12""";"""RO_MaisI""";1
16;16;15.13945114;"""H12""";"""DO_2004""";1
17;17;18.41171508;"""H12""";"""HE_2004""";1
18;18;16.4065254;"""H12""";"""DO_2005""";1
19;19;13.94668225;"""H12""";"""DO_2007""";1
20;20;27.37841145;"""H12""";"""EF_2007""";1
21;21;19.99981649;"""H12""";"""PA_2007""";1
22;22;12.18325696;"""H12""";"""DO_2009""";1
23;23;19.50206841;"""H12""";"""EF_2009""";1
24;24;13.47965995;"""H12""";"""PO_2009""";1
25;25;18.34969845;"""H12""";"""EF_2011""";1
26;26;30.70058906;"""H12""";"""ND_2011""";1
27;27;18.90690934;"""H12""";"""RO_2011""";1
28;28;14.69971924;"""H12""";"""DO_MaisI""";1
29;29;24.19442463;"""H12""";"""ND_Mais""";1
30;30;20.18848864;"""H12""";"""RO_MaisI""";1
31;46;16.41335915;"""H13""";"""DO_2004""";1
32;47;32.51995283;"""H13""";"""HE_2004""";1
33;48;17.20321492;"""H13""";"""DO_2005""";1
34;49;16.16411391;"""H13""";"""DO_2007""";1
35;50;27.95073331;"""H13""";"""EF_2007""";1
36;51;15.81610404;"""H13""";"""PA_2007""";1
37;52;15.5193287;"""H13""";"""DO_2009""";1
38;53;27.77713224;"""H13""";"""EF_2009""";1
39;54;10.55051949;"""H13""";"""PO_2009""";1
40;55;23.6229728;"""H13""";"""EF_2011""";1
41;56;29.68690705;"""H13""";"""ND_2011""";1
42;57;15.25413453;"""H13""";"""RO_2011""";1
43;58;15.95337754;"""H13""";"""DO_MaisII""";1
44;59;17.26449713;"""H13""";"""PA_Mais""";1
45;60;16.63077476;"""H13""";"""RO_MaisII""";1
