ID	samcam	field.ID	field	counts.av	counts.sd
1	1	1	DO_2004	480	98
2	1	1	DO_2004	420	50
3	1	1	DO_2004	323	15
4	1	2	HE_2004	717	112
5	1	2	HE_2004	627	49
6	1	2	HE_2004	807	60
7	1	3	DO_2005	550	36
8	1	3	DO_2005	603	90
9	1	3	DO_2005	670	53
10	1	4	DO_2007	1290	155
11	1	4	DO_2007	613	38
12	1	4	DO_2007	740	35
13	1	5	EF_2007	860	26
14	1	5	EF_2007	903	64
15	1	5	EF_2007	990	111
16	1	6	PA_2007	677	12
17	1	6	PA_2007	1413	96
18	1	6	PA_2007	727	72
19	1	7	DO_2009	703	72
20	1	7	DO_2009	547	40
21	1	7	DO_2009	993	140
22	1	8	EF_2009	2023	146
23	1	8	EF_2009	2427	148
24	1	8	EF_2009	1480	105
25	1	9	PO_2009	680	44
26	1	9	PO_2009	1293	83
27	1	9	PO_2009	1297	87
28	1	10	EF_2011	77	15
29	1	10	EF_2011	93	6
30	1	10	EF_2011	53	6
31	1	11	ND_2011	70	20
32	1	11	ND_2011	73	40
33	1	11	ND_2011	113	21
34	1	12	RO_2011	33	15
35	1	12	RO_2011	153	38
36	1	12	RO_2011	57	35
37	1	13	DO_Mais	27	15
38	1	13	DO_Mais	43	6
39	1	13	DO_Mais	53	6
40	1	14	ND_Mais	220	17
41	1	14	ND_Mais	187	25
42	1	14	ND_Mais	163	12
43	1	15	RO_Mais	673	78
44	1	15	RO_Mais	217	60
45	1	15	RO_Mais	1027	25
46	2	1	DO_2004	88	14
47	2	1	DO_2004	100	10
48	2	1	DO_2004	133	15
49	2	2	HE_2004	491	23
50	2	2	HE_2004	463	6
51	2	2	HE_2004	389	54
52	2	3	DO_2005	93	11
53	2	3	DO_2005	93	5
54	2	3	DO_2005	68	13
55	2	4	DO_2007	106	7
56	2	4	DO_2007	131	11
57	2	4	DO_2007	76	17
58	2	5	EF_2007	220	9
59	2	5	EF_2007	213	13
60	2	5	EF_2007	158	2
61	2	6	PA_2007	272	10
62	2	6	PA_2007	254	22
63	2	6	PA_2007	272	15
64	2	7	DO_2009	69	2
65	2	7	DO_2009	36	2
66	2	7	DO_2009	88	7
67	2	8	EF_2009	184	9
68	2	8	EF_2009	90	8
69	2	8	EF_2009	132	7
70	2	9	PO_2009	66	17
71	2	9	PO_2009	91	15
72	2	9	PO_2009	66	2
73	2	10	EF_2011	111	12
74	2	10	EF_2011	102	10
75	2	10	EF_2011	48	14
76	2	11	ND_2011	183	16
77	2	11	ND_2011	92	13
78	2	11	ND_2011	146	2
79	2	12	RO_2011	80	7
80	2	12	RO_2011	62	8
81	2	12	RO_2011	89	8
82	2	13	DO_Mais	17	5
83	2	13	DO_Mais	37	2
84	2	13	DO_Mais	34	5
85	2	14	ND_Mais	36	4
86	2	14	ND_Mais	34	4
87	2	14	ND_Mais	21	3
88	2	15	RO_Mais	179	17
89	2	15	RO_Mais	59	3
90	2	15	RO_Mais	228	27
91	4	1	DO_2004	269	15
92	4	1	DO_2004	285	12
93	4	1	DO_2004	212	14
94	4	2	HE_2004	513	53
95	4	2	HE_2004	323	12
96	4	2	HE_2004	454	22
97	4	3	DO_2005	111	2
98	4	3	DO_2005	112	4
99	4	3	DO_2005	118	5
100	4	4	DO_2007	58	11
101	4	4	DO_2007	58	7
102	4	4	DO_2007	59	8
103	4	5	EF_2007	91	3
104	4	5	EF_2007	135	12
105	4	5	EF_2007	242	13
106	4	6	PA_2007	141	7
107	4	6	PA_2007	75	4
108	4	6	PA_2007	83	13
109	4	7	DO_2009	74	4
110	4	7	DO_2009	55	9
111	4	7	DO_2009	41	7
112	4	8	EF_2009	217	12
113	4	8	EF_2009	238	11
114	4	8	EF_2009	319	21
115	4	9	PO_2009	72	10
116	4	9	PO_2009	77	6
117	4	9	PO_2009	82	11
118	4	10	EF_2011	149	16
119	4	10	EF_2011	68	6
120	4	10	EF_2011	149	4
121	4	11	ND_2011	70	9
122	4	11	ND_2011	110	3
123	4	11	ND_2011	98	11
124	4	12	RO_2011	43	4
125	4	12	RO_2011	43	2
126	4	12	RO_2011	29	1
127	4	16	DO_MaisII	23	5
128	4	16	DO_MaisII	20	4
129	4	16	DO_MaisII	22	3
130	4	17	PA_Mais	24	2
131	4	17	PA_Mais	35	2
132	4	17	PA_Mais	20	3
133	4	18	RO_MaisII	45	4
134	4	18	RO_MaisII	54	8
135	4	18	RO_MaisII	25	3
