ID	field.ID	location	field	dgO	dgN	area	WRB	BO_Syst	soty	crop	age_class	age	y_est	samcam	season	year	date	pH	mc	c	n	cn	sand	silt	clay	ata1	atb1	hum1	ats1	prec1	rad1	ata2	atb2	hum2	ats2	prec2	rad2	soil_coverage	soil_tillage	fertilisation	weed_control	soil_compaction	compaction
1	1	Dornburg	DO_2004	11.658097	51.003187	219	Mollic_Leptosol	BB-RR	uuT	Silphie	E_Sp_old	8	2004	1	spring	2012	08.05.2012	5.74	20.32	1.04	0.12	9.00	10.80	55.20	34.00	10.43	12.15	65.98	11.42	1.30	4079.27	13.97	15.55	68.79	14.51	0.10	5510	50x50	0	3	2	1	1
2	2	Hessberg	HE_2004	10.78191	50.414685	285	Terra_Fusca	CFn	uT	Silphie	E_Sp_old	8	2004	1	spring	2012	09.05.2012	5.42	27.74	2.47	0.26	9.64	12.30	50.40	37.30	9.55	9.84	70.97	9.07	2.15	3947.17	14.29	13.88	80.46	13.16	2.00	2383	50x50	0	3	2	2	2
3	3	Dornburg	DO_2005	11.656257	51.003652	921	Mollic_Leptosol	BB-RR	uuT	Silphie	E_Sp_old	7	2005	1	spring	2012	08.05.2012	7.38	18.62	1.38	0.12	11.78	6.10	63.00	30.90	10.43	12.15	65.98	11.42	1.30	4079.27	13.97	15.55	68.79	14.51	0.10	5510	50x50	0	3	2	2	2
4	4	Dornburg	DO_2007	11.657904	51.000938	2319	Mollic_Leptosol	BB-RR	uuT	Silphie	D_Sp_int2	5	2007	1	spring	2012	08.05.2012	7.22	20.89	1.28	0.13	9.89	7.20	63.20	29.60	10.43	12.15	65.98	11.42	1.30	4079.27	13.97	15.55	68.79	14.51	0.10	5510	50x50	0	3	2	2	2
5	5	Erfurt	EF_2007	11.005805	50.98336	172	Chernozem	TTn	uuT	Silphie	D_Sp_int2	5	2007	1	spring	2012	10.05.2012	7.36	17.57	2.05	0.15	13.27	12.70	60.20	27.10	12.22	11.54	69.00	11.61	1.48	4098.40	21.08	19.59	67.00	15.85	0.00	5630	90x50	0	3	1	2	2
6	6	Pahren	PA_2007	11.89876	50.653093	6676	stagnic_Luvisol	SSn	ttU	Silphie	D_Sp_int2	5	2007	1	spring	2012	09.05.2012	5.88	18.23	2.53	0.27	9.22	28.90	51.10	20.00	9.66	10.48	70.63	8.60	1.19	4623.20	14.61	14.90	73.92	11.84	0.00	4899	50x50	0	4	3	4	2
7	7	Dornburg	DO_2009	11.657303	51.000746	1609	Mollic_Leptosol	BB-RR	uuT	Silphie	C_Sp_int1	3	2009	1	spring	2012	08.05.2012	6.82	19.76	1.11	0.12	9.20	10.10	62.40	27.50	10.43	12.15	65.98	11.42	1.30	4079.27	13.97	15.55	68.79	14.51	0.10	5510	50x50	0	3	2	2	2
8	8	Erfurt	EF_2009	11.004722	50.981567	2818	Chernozem	TTn	uuT	Silphie	C_Sp_int1	3	2009	1	spring	2012	10.05.2012	7.36	19.83	2.41	0.17	14.34	10.20	62.10	27.70	12.22	11.54	69.00	11.61	1.48	4098.40	21.08	19.59	67.00	15.85	0.00	5630	90x50	0	3	1	3	2
9	9	Poppenburg	PO_2009	9.780602	52.145969	120	Haplic_Luvisol	LLn	tU	Silphie	C_Sp_int1	3	2009	1	spring	2012	03.05.2012	6.21	9.65	1.11	0.11	9.72	16.90	68.60	14.50	8.75	9.29	74.36	9.27	0.73	3894.77	14.86	15.41	81.05	15.11	3.00	4059	50x50	0	3	2	3	2
10	10	Erfurt	EF_2011	10.999336	50.980493	9247	Chernozem	TTn	uuT	Silphie	B_Sp_young	1	2011	1	spring	2012	10.05.2012	7.54	18.87	2.40	0.12	19.78	12.70	58.00	29.30	12.22	11.54	69.00	11.61	1.48	4098.40	21.08	19.59	67.00	15.85	0.00	5630	90x50	0	3	4	4	2
11	11	Niederdorla	ND_2011	10.399994	51.136251	9278	Stagnic_Luvisol	SS-LL	tU	Silphie	B_Sp_young	1	2011	1	spring	2012	10.05.2012	7.06	28.45	2.54	0.27	9.50	10.10	69.60	20.30	11.21	11.86	75.25	10.98	1.18	4285.70	20.35	19.79	73.50	16.06	3.80	4526	50x50	0	2	4	4	3
