"""samcam""";"""field""";;"""field.ID""";"""ID""";"""Feld""";"""C""";"""N""";"""cn"""
"""F12""";"""DO_2004""";1;1;3;1;1.040904;0.11586;9.001625759
"""F12""";"""HE_2004""";2;2;8;10;2.47192;0.256344;9.644552049
"""F12""";"""DO_2005""";3;3;13;2;1.38256;0.117334;11.78203791
"""F12""";"""DO_2007""";4;4;18;3;1.28048;0.129576;9.886933411
"""F12""";"""EF_2007""";5;5;23;7;2.04574;0.153746;13.26929838
"""F12""";"""PA_2007""";6;6;28;13;2.5291;0.27387;9.223700646
"""F12""";"""DO_2009""";7;7;33;4;1.11216;0.120892;9.204623577
"""F12""";"""EF_2009""";8;8;38;8;2.40994;0.169464;14.33989778
"""F12""";"""PO_2009""";9;9;43;15;1.11266;0.11466;9.721519517
"""F12""";"""EF_2011""";10;10;48;9;2.40454;0.121724;19.78071861
"""F12""";"""ND_2011""";11;11;53;11;2.53722;0.267594;9.497533734
"""F12""";"""RO_2011""";12;12;58;16;1.4575;0.137318;10.61179962
"""F12""";"""DO_MaisI""";13;13;63;5;1.21524;0.136988;8.905697225
"""F12""";"""ND_Mais""";14;14;68;12;1.30662;0.134056;9.748916806
"""F12""";"""RO_MaisI""";15;15;73;17;1.3774;0.144466;9.548368486
"""H12""";"""DO_2004""";16;16;78;1;1.040904;0.11586;9.001625759
"""H12""";"""HE_2004""";17;17;83;10;2.47192;0.256344;9.644552049
"""H12""";"""DO_2005""";18;18;88;2;1.38256;0.117334;11.78203791
"""H12""";"""DO_2007""";19;19;93;3;1.28048;0.129576;9.886933411
"""H12""";"""EF_2007""";20;20;98;7;2.04574;0.153746;13.26929838
"""H12""";"""PA_2007""";21;21;103;13;2.5291;0.27387;9.223700646
"""H12""";"""DO_2009""";22;22;108;4;1.11216;0.120892;9.204623577
"""H12""";"""EF_2009""";23;23;113;8;2.40994;0.169464;14.33989778
"""H12""";"""PO_2009""";24;24;118;15;1.11266;0.11466;9.721519517
"""H12""";"""EF_2011""";25;25;123;9;2.40454;0.121724;19.78071861
"""H12""";"""ND_2011""";26;26;128;11;2.53722;0.267594;9.497533734
"""H12""";"""RO_2011""";27;27;133;16;1.4575;0.137318;10.61179962
"""H12""";"""DO_MaisI""";28;28;138;6;1.21524;0.136988;8.905697225
"""H12""";"""ND_Mais""";29;29;143;14;1.30662;0.134056;9.748916806
"""H12""";"""RO_MaisI""";30;30;148;18;1.3774;0.144466;9.548368486
"""H13""";"""DO_2004""";31;31;153;1;1.040904;0.11586;9.001625759
"""H13""";"""HE_2004""";32;32;158;10;2.47192;0.256344;9.644552049
"""H13""";"""DO_2005""";33;33;163;2;1.38256;0.117334;11.78203791
"""H13""";"""DO_2007""";34;34;168;3;1.28048;0.129576;9.886933411
"""H13""";"""EF_2007""";35;35;173;7;2.04574;0.153746;13.26929838
"""H13""";"""PA_2007""";36;36;178;13;2.5291;0.27387;9.223700646
"""H13""";"""DO_2009""";37;37;183;4;1.11216;0.120892;9.204623577
"""H13""";"""EF_2009""";38;38;188;8;2.40994;0.169464;14.33989778
"""H13""";"""PO_2009""";39;39;193;15;1.11266;0.11466;9.721519517
"""H13""";"""EF_2011""";40;40;198;9;2.40454;0.121724;19.78071861
"""H13""";"""ND_2011""";41;41;203;11;2.53722;0.267594;9.497533734
"""H13""";"""RO_2011""";42;42;208;16;1.4575;0.137318;10.61179962
"""H13""";"""DO_MaisII""";43;43;213;6;1.07496;0.120554;8.924015119
"""H13""";"""PA_Mais""";44;44;218;14;3.40252;0.35246;9.659712767
"""H13""";"""RO_MaisII""";45;45;223;18;1.84834;0.177688;10.45134397
