ID	samcam	field.ID	field	Anguinidae	Aphelenchidae	Aphelenchoididae	Diphterophoridae	Leptonchidae	Diplogasteridae	Panagrolaimidae	Rhabditidae	Cephalobidae	Plectidae	Alaimidae	Nordiidae	Qudsianematidae	Aporcelaimidae	Belondiridae	Thornenematidae	Anatonchidae	Mononchidae	Discolaimidae	Nygolaimidae	Psilenchidae	Tylenchidae	Criconematidae	Telotylenchidae	Hoplolaimidae	Pratylenchidae	carnivore	bacterivore	fungivore	herbivore	omnivore	N	MI	MI2-5	PPI	summedMI	summedMI2-5	PPI/MI	BI	EI	SI	CI	NCR
16	2	1	DO2004	0	2	1	1	2	0	1	0	7	0	0	0	1	0	0	1	0	1	0	0	3	7	0	0	72	0	1	8	6	82	2	99	2.65	2.75	2.88	2.84	2.86	1.09	24.10	41.18	71.01	42.86	0.43
17	2	2	HE2004	0	1	1	0	0	0	1	0	9	1	0	0	0	0	0	5	0	0	0	0	0	2	0	1	76	0	0	11	2	79	5	97	2.78	2.88	2.97	2.94	2.96	1.07	24.37	33.33	72.25	33.33	0.15
18	2	3	DO2005	0	3	1	0	0	0	7	5	8	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	63	0	0	20	4	75	1	100	1.60	2.15	2.84	2.53	2.74	1.78	17.65	81.25	25.00	7.69	0.17
19	2	4	DO2007	0	0	9	0	0	0	2	2	15	1	0	0	0	1	0	1	0	3	0	0	0	46	0	18	0	1	3	20	9	65	2	99	2.24	2.40	2.29	2.27	2.33	1.03	33.56	50.00	49.49	36.00	0.31
20	2	5	EF2007	0	5	3	0	0	0	0	13	18	1	0	0	4	1	0	0	0	1	0	0	0	52	0	1	1	0	1	32	8	54	5	100	2.00	2.39	2.04	2.02	2.17	1.02	23.84	68.97	49.30	13.33	0.20
21	2	6	PA2007	0	2	1	0	0	0	1	7	7	5	0	0	0	5	0	0	0	0	0	0	0	1	0	45	26	0	0	20	3	72	5	100	2.25	2.75	2.99	2.78	2.93	1.33	18.46	70.00	67.57	8.57	0.13
22	2	7	DO2009	0	4	12	0	0	0	22	4	26	2	0	0	5	0	0	2	0	2	0	0	0	8	0	11	1	0	2	54	16	20	7	99	1.92	2.38	2.60	2.06	2.44	1.35	21.52	73.17	47.93	13.33	0.23
23	2	8	EF2009	0	4	7	0	0	0	17	9	12	2	0	0	5	1	0	1	0	1	0	0	0	23	0	3	13	0	1	40	11	39	7	98	1.86	2.55	2.41	2.08	2.47	1.29	14.16	82.14	59.35	9.57	0.22
24	2	9	PO2009	0	29	8	0	0	0	2	4	31	0	0	0	0	1	0	0	0	0	0	0	0	11	0	14	0	0	0	37	37	25	1	100	1.96	2.04	2.56	2.11	2.18	1.31	50.28	47.29	8.42	60.66	0.50
25	2	10	EF2011	1	1	12	0	0	0	17	6	19	3	0	0	3	0	0	0	0	0	0	0	0	35	0	1	2	0	0	45	14	38	3	100	1.73	2.15	2.08	1.86	2.12	1.20	23.38	74.65	25.00	13.21	0.24
