"","N","MI","MI2.5","PPI","summedMI","summedMI2.5","PPI.MI","BI","EI","SI","CI","NCR","SR","rarefy","H","D","J","H1"
"A_Cm.2","ab","a","a","d","a","a","b","a","a","a","a","a","a","a","acd","ac","ac","ab"
"B_Sp_young.2","ab","a","a","b","a","a","acd","a","a","a","a","a","a","a","bd","bc","bc","ab"
"C_Sp_int1.2","a","a","a","bc","a","a","c","a","a","a","a","a","a","a","cd","c","c","b"
"D_Sp_int2.2","ab","a","a","ab","a","a","bc","a","a","a","a","a","a","a","ab","ab","ab","ac"
"E_Sp_old.2","ab","a","a","e","a","a","c","a","a","a","a","a","a","a","a","a","a","a"
"A_Cm.4","ab","a","a","bd","a","a","bd","a","a","a","a","a","a","a","acd","ac","ac","ab"
"B_Sp_young.4","ab","a","a","ac","a","a","ab","a","a","a","a","a","a","a","bc","bc","bc","ab"
"C_Sp_int1.4","ab","a","a","c","a","a","cd","a","a","a","a","a","a","a","cd","c","bc","b"
"D_Sp_int2.4","b","a","a","bc","a","a","bc","a","a","a","a","a","a","a","d","c","c","b"
"E_Sp_old.4","ab","a","a","e","a","a","cd","a","a","a","a","a","a","a","bd","bc","bc","bc"
