"","N","MI","MI2.5","PPI","summedMI","summedMI2.5","PPI.MI","BI","EI","SI","CI","NCR","SR","rarefy","H","D","J","H1"
"A_Cm.2","a","a","a","d","a","a","b","a","a","a","a","a","a","a","ac","ac","ac","ac"
"B_Sp_young.2","a","a","a","ad","a","a","acd","a","a","a","a","a","a","a","bc","bc","bc","ac"
"C_Sp_int1.2","a","a","a","abc","a","a","c","a","a","a","a","a","a","a","c","c","c","c"
"D_Sp_int2.2","a","a","a","abc","a","a","bc","a","a","a","a","a","a","a","ab","ab","ab","ab"
"E_Sp_old.2","a","a","a","e","a","a","c","a","a","a","a","a","a","a","a","a","a","a"
"A_Cm.4","a","a","a","bd","a","a","bd","a","a","a","a","a","a","a","ac","ac","ac","ac"
"B_Sp_young.4","a","a","a","bc","a","a","ab","a","a","a","a","a","a","a","bc","bc","bc","bc"
"C_Sp_int1.4","a","a","a","c","a","a","cd","a","a","a","a","a","a","a","c","bc","bc","c"
"D_Sp_int2.4","a","a","a","abc","a","a","bc","a","a","a","a","a","a","a","c","c","c","c"
"E_Sp_old.4","a","a","a","e","a","a","c","a","a","a","a","a","a","a","bc","bc","bc","bc"
