"","Env","DF","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2"
"1","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"2","age_class","3","4.78","0.189","3.22","0.36","0.62","0.892","1.45","0.695","2.41","0.491","9.75","0.021","17.93","0","4.28","0.233"
"3","samcam","1","0.18","0.668","2.5","0.114","11.04","0.001","0.76","0.385","0.73","0.393","1.12","0.29","1.65","0.199","0.06","0.804"
"4","age_class:samcam","3","7.73","0.052","26.66","0","2.77","0.428","10.96","0.012","4.58","0.205","0.7","0.873","13.65","0.003","14.67","0.002"
"5","R2m",NA,NA,"0.36",NA,"0.47",NA,"0.4",NA,"0.23",NA,"0.23",NA,"0.43",NA,"0.6",NA,"0.35"
"6","R2c",NA,NA,"0.65",NA,"0.75",NA,"0.59",NA,"0.78",NA,"0.68",NA,"0.85",NA,"0.86",NA,"0.77"
"7","X","X","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson"
"","Env","DF","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2"
"1","X","X","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value"
"2","NA","NA","4.22","0.238","2.97","0.396","0.76","0.859","1.62","0.654","2.35","0.503","7.23","0.065","10.64","0.014","3.72","0.293"
"3","NA","NA","0","0.978","2.47","0.116","9.18","0.002","1.87","0.171","0.41","0.524","1.12","0.29","1.01","0.315","0.05","0.83"
"4","NA","NA","5.21","0.157","13.85","0.003","2.63","0.452","7.77","0.051","4.01","0.26","0.67","0.879","9.16","0.027","9.59","0.022"
"5","R2m",NA,NA,"0.36",NA,"0.47",NA,"0.4",NA,"0.23",NA,"0.23",NA,"0.43",NA,"0.6",NA,"0.35"
"6","R2c",NA,NA,"0.65",NA,"0.75",NA,"0.59",NA,"0.78",NA,"0.68",NA,"0.85",NA,"0.86",NA,"0.77"
"7","X","X","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson"
"","Factor1","Factor1","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2"
"1","age_class","samcam","rate","group","rate","group","rate","group","rate","group","rate","group","rate","group","rate","group","rate","group"
"2","B_Sp_young","2","23.5903991741492"," 1","356.504267188599"," 1 ","1.55666048734586"," 12","39.109191018547"," 1","106.561124434436"," 1","180.999012273511"," 1","460.209750622524"," 1234","156.808475280841"," 12"
"3","C_Sp_int1","2","186.055502800871"," 1","376.305456132671"," 1 ","4.20487865000785"," 12","31.556369401926"," 1","110.68277105764"," 1","120.982118670178"," 1","236.516310052023"," 1   ","297.29572354635"," 12"
"4","D_Sp_int2","2","105.850652798173"," 1","414.322205295047"," 1 ","6.87146353187872"," 12","65.0889988570799"," 1","241.990711849136"," 1","250.89224250385"," 1","1117.4406158995","  23 ","420.242451807363"," 12"
"5","E_Sp_old","2","58.4603110270407"," 1","196.185656005345"," 12","0.764643989905424"," 1 ","36.0729091566355"," 1","88.8739434022346"," 1","1153.71220641268"," 1","1271.56349081062","  2 4","151.675357498604"," 1 "
"6","B_Sp_young","4","28.0141805963182"," 1","108.807776094119","  2","17.370849054304"," 12","11.117964621179"," 1","35.4024852045854"," 1","160.05963867239"," 1","483.39259936231"," 1234","96.7266849677972"," 12"
"7","C_Sp_int1","4","38.5000257800573"," 1","279.825758927659"," 12","20.7730710610816"," 12","26.9914193125106"," 1","87.8051863345905"," 1","82.805526488376"," 1","302.60441591484"," 1 3 ","215.94577695221"," 12"
"8","D_Sp_int2","4","113.976535970525"," 1","305.166816479711"," 12","32.8707248497916"," 12","25.5120145939607"," 1","188.81595631223"," 1","150.744154311175"," 1","417.89811262909"," 1  4","320.602980883473"," 12"
"9","E_Sp_old","4","212.777579476488"," 1","454.634083627388"," 1 ","65.4877633836024","  2","87.3896642382638"," 1","199.760068051377"," 1","1119.07851498039"," 1","1438.24457359831","  2 4","518.347605433457","  2"
"","contrast","samcam","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2"
"1","B_Sp_young - C_Sp_int1","2","-2.07","0.17","-0.05","0.999","-0.99","0.935","0.21","0.994","-0.04","1","0.4","0.968","0.67","0.433","-0.64","0.714"
"2","B_Sp_young - D_Sp_int2","2","-1.5","0.341","-0.15","0.982","-1.48","0.813","-0.51","0.93","-0.82","0.794","-0.33","0.983","-0.89","0.182","-0.99","0.36"
"3","B_Sp_young - E_Sp_old","2","-0.91","0.746","0.6","0.44","0.71","0.978","0.08","1","0.18","0.997","-1.85","0.151","-1.02","0.096","0.03","1"
"4","C_Sp_int1 - D_Sp_int2","2","0.56","0.94","-0.1","0.995","-0.49","0.989","-0.72","0.826","-0.78","0.816","-0.73","0.841","-1.55","0.002","-0.35","0.94"
"5","C_Sp_int1 - E_Sp_old","2","1.16","0.642","0.65","0.361","1.7","0.748","-0.13","0.999","0.22","0.995","-2.26","0.05","-1.68","0.001","0.67","0.68"
"6","D_Sp_int2 - E_Sp_old","2","0.59","0.905","0.75","0.24","2.2","0.564","0.59","0.897","1","0.674","-1.53","0.305","-0.13","0.991","1.02","0.329"
"7","B_Sp_young - C_Sp_int1","4","-0.32","0.985","-0.94","0.136","-0.18","1","-0.89","0.767","-0.91","0.746","0.66","0.894","0.47","0.754","-0.8","0.549"
"8","B_Sp_young - D_Sp_int2","4","-1.4","0.383","-1.03","0.05","-0.64","0.975","-0.83","0.824","-1.67","0.247","0.06","1","0.15","0.988","-1.2","0.198"
"9","B_Sp_young - E_Sp_old","4","-2.03","0.098","-1.43","0.002","-1.33","0.818","-2.06","0.103","-1.73","0.281","-1.94","0.12","-1.09","0.063","-1.68","0.029"
"10","C_Sp_int1 - D_Sp_int2","4","-1.09","0.62","-0.09","0.997","-0.46","0.992","0.06","1","-0.77","0.825","-0.6","0.918","-0.32","0.904","-0.4","0.914"
"11","C_Sp_int1 - E_Sp_old","4","-1.71","0.225","-0.49","0.681","-1.15","0.897","-1.17","0.507","-0.82","0.827","-2.6","0.026","-1.56","0.005","-0.88","0.466"
"12","D_Sp_int2 - E_Sp_old","4","-0.62","0.891","-0.4","0.748","-0.69","0.966","-1.23","0.515","-0.06","1","-2","0.102","-1.24","0.026","-0.48","0.855"
