",""Env"",""DF"",""BI"",""BI"",""SI"",""SI"",""EI"",""EI"",""CI"",""CI"",""MI"",""MI"",""PPI"",""PPI"",""MI25"",""MI25"",""sigmaMI"",""sigmaMI"",""sigmaMI25"",""sigmaMI25"",""PPI.1"",""PPI.1"",""SR"",""SR"",""rarefy"",""rarefy"",""H"",""H"",""D"",""D"",""J"",""J"",""H1"",""H1"",""N"",""N"""
"1,""X"",""X"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"",""CHI2"",""p-value"""
"2,""age_class"",""3"",""4.95"",""0.176"",""1.48"",""0.687"",""1.06"",""0.787"",""3.7"",""0.296"",""2.7"",""0.44"",""10.75"",""0.013"",""2.07"",""0.557"",""8.52"",""0.036"",""5.14"",""0.162"",""8.85"",""0.031"",""0.68"",""0.879"",""3.3"",""0.347"",""4.8"",""0.187"",""6.17"",""0.104"",""4.36"",""0.225"",""4.95"",""0.176"",""10.1"",""0.018"""
"3,""samcam"",""1"",""1.74"",""0.187"",""1.04"",""0.309"",""2.37"",""0.124"",""0.86"",""0.353"",""4.86"",""0.028"",""2.77"",""0.096"",""1.93"",""0.164"",""44.47"",""0"",""0.66"",""0.417"",""0.41"",""0.521"",""5.02"",""0.025"",""6.08"",""0.014"",""3.18"",""0.075"",""2.45"",""0.117"",""1.25"",""0.263"",""1.28"",""0.258"",""0.81"",""0.369"""
"4,""age_class:samcam"",""3"",""17.47"",""0.001"",""1.85"",""0.605"",""1.54"",""0.673"",""0.05"",""0.997"",""7.91"",""0.048"",""9.33"",""0.025"",""4.19"",""0.242"",""10.33"",""0.016"",""4.98"",""0.173"",""9.84"",""0.02"",""1.57"",""0.667"",""4.14"",""0.247"",""5.47"",""0.14"",""5.6"",""0.133"",""4.35"",""0.226"",""6.18"",""0.103"",""1.05"",""0.788"""
"5,""R2m"",NA,NA,""0.48"",NA,""0.14"",NA,""0.18"",NA,""0.19"",NA,""0.33"",NA,""0.52"",NA,""0.22"",NA,""0.51"",NA,""0.31"",NA,""0.45"",NA,""0.22"",NA,""0.36"",NA,""0.38"",NA,""0.39"",NA,""0.31"",NA,""0.35"",NA,""0.34"""
"6,""R2c"",NA,NA,""0.69"",NA,""0.58"",NA,""0.18"",NA,""0.3"",NA,""0.65"",NA,""0.69"",NA,""0.56"",NA,""0.95"",NA,""0.71"",NA,""0.55"",NA,""0.32"",NA,""0.4"",NA,""0.38"",NA,""0.39"",NA,""0.31"",NA,""0.35"",NA,""0.34"""
"7,""X"",""X"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"",""normal"""
",""Env"",""DF"",""BI"",""BI"",""SI"",""SI"",""EI"",""EI"",""CI"",""CI"",""MI"",""MI"",""PPI"",""PPI"",""MI25"",""MI25"",""sigmaMI"",""sigmaMI"",""sigmaMI25"",""sigmaMI25"",""PPI.1"",""PPI.1"",""SR"",""SR"",""rarefy"",""rarefy"",""H"",""H"",""D"",""D"",""J"",""J"",""H1"",""H1"",""N"",""N"""
"1,""X"",""X"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"",""KR-F"",""p-value"""
