"","Env","DF","Tylenchidae","Tylenchidae","Aphelenchidae","Aphelenchidae","Hoplolaimidae","Hoplolaimidae","Cephalobidae","Cephalobidae","Plectidae","Plectidae","Telotylenchidae","Telotylenchidae","Rhabditidae","Rhabditidae","Aporcelaimidae","Aporcelaimidae","Aphelenchoididae","Aphelenchoididae","Panagrolaimidae","Panagrolaimidae"
"1","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"2","age_class","3","3.39","0.336","5.54","0.136","19.09","0","6.88","0.076","17.08","0.001","2.46","0.483","27.9","0","7.49","0.058","3.82","0.282","3.32","0.345"
"3","samcam","1","0.49","0.482","1.21","0.272","0.18","0.67","2.37","0.124","47.82","0","0.02","0.879","2.46","0.117","1.82","0.177","0.61","0.437","21.53","0"
"4","age_class:samcam","3","3.66","0.3","4.5","0.212","9.71","0.021","29.51","0","13.86","0.003","10.25","0.017","9.03","0.029","3.48","0.324","7.82","0.05","32.46","0"
"5","R2m",NA,NA,"0.25",NA,"0.35",NA,"0.63",NA,"0.46",NA,"0.73",NA,"0.44",NA,"0.69",NA,"0.97",NA,"0.4",NA,"0.92"
"6","R2c",NA,NA,"0.69",NA,"0.77",NA,"0.87",NA,"0.89",NA,"0.93",NA,"0.55",NA,"0.69",NA,"0.98",NA,"0.49",NA,"0.98"
"7","X","X","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson"
"","Env","DF","Tylenchidae","Tylenchidae","Aphelenchidae","Aphelenchidae","Hoplolaimidae","Hoplolaimidae","Cephalobidae","Cephalobidae","Plectidae","Plectidae","Telotylenchidae","Telotylenchidae","Rhabditidae","Rhabditidae","Aporcelaimidae","Aporcelaimidae","Aphelenchoididae","Aphelenchoididae","Panagrolaimidae","Panagrolaimidae"
"1","X","X","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value","Chisq","p-value"
"2","NA","NA","2.87","0.413","4.74","0.192","11.42","0.01","5.57","0.135","11.92","0.008","4.17","0.244","15.8","0.001","9.67","0.022","4.58","0.206","4.65","0.2"
"3","NA","NA","0.85","0.355","1.07","0.3","0.4","0.528","2.43","0.119","19.94","0","0.07","0.798","3.16","0.076","14.72","0","0.22","0.637","19.71","0"
"4","NA","NA","3.18","0.364","4.16","0.245","7.7","0.053","15.1","0.002","11.61","0.009","8.34","0.04","8.69","0.034","15.95","0.001","7.02","0.071","12.76","0.005"
"5","R2m",NA,NA,"0.25",NA,"0.35",NA,"0.63",NA,"0.46",NA,"0.73",NA,"0.44",NA,"0.69",NA,"0.97",NA,"0.4",NA,"0.92"
"6","R2c",NA,NA,"0.69",NA,"0.77",NA,"0.87",NA,"0.89",NA,"0.93",NA,"0.55",NA,"0.69",NA,"0.98",NA,"0.49",NA,"0.98"
"7","X","X","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson","poisson"
