"","contrast","samcam","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2"
"1","B_Sp_young - C_Sp_int1","2","-2.07","0.17","-0.05","0.999","-0.99","0.935","0.21","0.994","-0.04","1","0.4","0.968","0.67","0.433","-0.64","0.714"
"2","B_Sp_young - D_Sp_int2","2","-1.5","0.341","-0.15","0.982","-1.48","0.813","-0.51","0.93","-0.82","0.794","-0.33","0.983","-0.89","0.182","-0.99","0.36"
"3","B_Sp_young - E_Sp_old","2","-0.91","0.746","0.6","0.44","0.71","0.978","0.08","1","0.18","0.997","-1.85","0.151","-1.02","0.096","0.03","1"
"4","C_Sp_int1 - D_Sp_int2","2","0.56","0.94","-0.1","0.995","-0.49","0.989","-0.72","0.826","-0.78","0.816","-0.73","0.841","-1.55","0.002","-0.35","0.94"
"5","C_Sp_int1 - E_Sp_old","2","1.16","0.642","0.65","0.361","1.7","0.748","-0.13","0.999","0.22","0.995","-2.26","0.05","-1.68","0.001","0.67","0.68"
"6","D_Sp_int2 - E_Sp_old","2","0.59","0.905","0.75","0.24","2.2","0.564","0.59","0.897","1","0.674","-1.53","0.305","-0.13","0.991","1.02","0.329"
"7","B_Sp_young - C_Sp_int1","4","-0.32","0.985","-0.94","0.136","-0.18","1","-0.89","0.767","-0.91","0.746","0.66","0.894","0.47","0.754","-0.8","0.549"
"8","B_Sp_young - D_Sp_int2","4","-1.4","0.383","-1.03","0.05","-0.64","0.975","-0.83","0.824","-1.67","0.247","0.06","1","0.15","0.988","-1.2","0.198"
"9","B_Sp_young - E_Sp_old","4","-2.03","0.098","-1.43","0.002","-1.33","0.818","-2.06","0.103","-1.73","0.281","-1.94","0.12","-1.09","0.063","-1.68","0.029"
"10","C_Sp_int1 - D_Sp_int2","4","-1.09","0.62","-0.09","0.997","-0.46","0.992","0.06","1","-0.77","0.825","-0.6","0.918","-0.32","0.904","-0.4","0.914"
"11","C_Sp_int1 - E_Sp_old","4","-1.71","0.225","-0.49","0.681","-1.15","0.897","-1.17","0.507","-0.82","0.827","-2.6","0.026","-1.56","0.005","-0.88","0.466"
"12","D_Sp_int2 - E_Sp_old","4","-0.62","0.891","-0.4","0.748","-0.69","0.966","-1.23","0.515","-0.06","1","-2","0.102","-1.24","0.026","-0.48","0.855"
