"","contrast","samcam","fungivores","fungivores","bacterivores","bacterivores","carnivores","carnivores","omnivores","omnivores","Tylenchidae","Tylenchidae","herbivores","herbivores","herbivores2","herbivores2","fungivores2","fungivores2"
"1","B_Sp_young - C_Sp_int1","2","-1.35","0.318","-0.25","0.899","0.18","0.997","-0.11","0.996","-0.18","0.998","0.54","0.945","0.9","0.071","-0.93","0.668"
"2","B_Sp_young - D_Sp_int2","2","-0.19","0.994","0.68","0.243","-0.1","0.999","0.1","0.998","-0.85","0.811","-0.13","0.999","-0.64","0.298","-0.84","0.744"
"3","B_Sp_young - E_Sp_old","2","0.38","0.959","1.45","0.001","1.29","0.701","0.5","0.793","0.7","0.888","-2.3","0.08","-1.45","0.001","0.68","0.847"
"4","C_Sp_int1 - D_Sp_int2","2","1.16","0.425","0.93","0.051","-0.28","0.987","0.2","0.977","-0.68","0.893","-0.67","0.901","-1.54","0","0.1","0.999"
"5","C_Sp_int1 - E_Sp_old","2","1.73","0.126","1.7","0","1.1","0.803","0.6","0.669","0.88","0.798","-2.85","0.016","-2.35","0","1.62","0.207"
"6","D_Sp_int2 - E_Sp_old","2","0.57","0.871","0.77","0.194","1.39","0.646","0.4","0.882","1.56","0.375","-2.18","0.108","-0.81","0.138","1.52","0.263"
"7","B_Sp_young - C_Sp_int1","4","-0.89","0.607","-1.37","0.005","0.7","0.694","-0.62","0.747","-0.29","0.991","2.19","0.132","1.45","0.002","-0.43","0.954"
"8","B_Sp_young - D_Sp_int2","4","-0.96","0.544","-0.98","0.042","0.45","0.846","-0.45","0.911","-1.21","0.6","1.12","0.656","0.9","0.062","-0.94","0.666"
"9","B_Sp_young - E_Sp_old","4","-0.71","0.758","-0.34","0.804","0.59","0.715","-0.64","0.728","-0.35","0.988","-0.46","0.964","0.13","0.984","-0.39","0.966"
"10","C_Sp_int1 - D_Sp_int2","4","-0.07","1","0.39","0.764","-0.26","0.98","0.16","0.992","-0.92","0.768","-1.08","0.71","-0.55","0.531","-0.51","0.924"
"11","C_Sp_int1 - E_Sp_old","4","0.18","0.994","1.03","0.055","-0.11","0.998","-0.02","1","-0.06","1","-2.65","0.04","-1.32","0.007","0.04","1"
"12","D_Sp_int2 - E_Sp_old","4","0.24","0.985","0.64","0.297","0.15","0.994","-0.19","0.988","0.86","0.833","-1.58","0.351","-0.77","0.143","0.55","0.906"
