"","contrast","samcam","BI","BI","CI","CI","PPI","PPI","PPI.1","PPI.1","MI","MI","MI25","MI25","N","N"
"1","B_Sp_young - C_Sp_int1","2","0.24","0.835","-0.14","0.993","0.88","0.36","0.93","0.514","0.05","0.986","0.02","0.999","-0.28","0.584"
"2","B_Sp_young - D_Sp_int2","2","-0.11","0.959","-0.37","0.856","-0.39","0.836","-0.6","0.67","-0.07","0.967","-0.05","0.978","0.61","0.355"
"3","B_Sp_young - E_Sp_old","2","0.03","0.999","-0.78","0.163","-0.26","0.939","-0.09","0.999","-0.15","0.749","-0.09","0.915","0.32","0.712"
"4","C_Sp_int1 - D_Sp_int2","2","-0.35","0.602","-0.23","0.97","-1.27","0.093","-1.53","0.114","-0.12","0.836","-0.08","0.942","0.9","0.056"
"5","C_Sp_int1 - E_Sp_old","2","-0.21","0.888","-0.64","0.598","-1.14","0.148","-1.02","0.498","-0.2","0.514","-0.11","0.843","0.6","0.134"
"6","D_Sp_int2 - E_Sp_old","2","0.14","0.918","-0.41","0.813","0.13","0.992","0.51","0.821","-0.08","0.94","-0.03","0.994","-0.29","0.893"
"7","B_Sp_young - C_Sp_int1","4","-1.42","0.015","-1.81","0.001","1.08","0.331","0.08","0.999","0.25","0.274","0.25","0.227","0.04","0.998"
"8","B_Sp_young - D_Sp_int2","4","-1.03","0.148","-1.1","0.111","0.45","0.776","0.65","0.706","0.32","0.122","0.14","0.698","0.56","0.206"
"9","B_Sp_young - E_Sp_old","4","-1.1","0.108","-1.44","0.01","-1.26","0.024","-1.29","0.104","0.19","0.555","0.17","0.603","0.23","0.758"
"10","C_Sp_int1 - D_Sp_int2","4","0.39","0.079","0.71","0.127","-0.63","0.765","0.57","0.767","0.07","0.959","-0.11","0.847","0.53","0.271"
"11","C_Sp_int1 - E_Sp_old","4","0.33","0.157","0.37","0.641","-2.34","0.001","-1.37","0.062","-0.07","0.966","-0.09","0.913","0.19","0.851"
"12","D_Sp_int2 - E_Sp_old","4","-0.06","0.986","-0.34","0.723","-1.71","0.001","-1.94","0.012","-0.14","0.785","0.02","0.999","-0.34","0.691"
