"","contrast","samcam","fungivores","fungivores","bacterivores","bacterivores"
"1","B_Sp_young - C_Sp_int1","2","-0.46","0.586","0.46","0.586"
"2","B_Sp_young - D_Sp_int2","2","-0.43","0.659","0.43","0.659"
"3","B_Sp_young - E_Sp_old","2","-0.54","0.597","0.54","0.597"
"4","C_Sp_int1 - D_Sp_int2","2","0.03","1","-0.03","1"
"5","C_Sp_int1 - E_Sp_old","2","-0.08","0.998","0.08","0.998"
"6","D_Sp_int2 - E_Sp_old","2","-0.11","0.995","0.11","0.995"
"7","B_Sp_young - C_Sp_int1","4","-0.26","0.896","0.26","0.896"
"8","B_Sp_young - D_Sp_int2","4","0.16","0.969","-0.16","0.969"
"9","B_Sp_young - E_Sp_old","4","-0.15","0.978","0.15","0.978"
"10","C_Sp_int1 - D_Sp_int2","4","0.42","0.481","-0.42","0.481"
"11","C_Sp_int1 - E_Sp_old","4","0.11","0.985","-0.11","0.985"
"12","D_Sp_int2 - E_Sp_old","4","-0.31","0.746","0.31","0.746"
