;Env;Df;N;MI;MI2.5;PPI;summedMI;summedMI2.5;PPI.MI;BI;EI;SI;CI;NCR;SR;rarefy;H;D;J;H1
1;(Intercept);1;0;0.264;0.356;0.012;0.182;0.195;0.176;0.014;0.645;0.714;0.05;0.205;0.381;0.344;0.941;0.766;0.213;0.342
2;age_class;4;0.939;0.352;0.797;0;0.373;0.58;0.026;0.507;0.134;0.924;0.611;0.993;0.601;0.465;0;0;0;0
3;samcam;1;0.079;0.944;0.859;0.185;0.806;0.771;0.43;0.723;0.857;0.788;0.095;0.31;0.855;0.863;0.987;0.966;0.5;0.747
4;pH;1;0.942;0.545;0.596;0.335;0.817;0.75;0.348;0.561;0.934;0.548;0.484;0.737;0.984;0.961;0.503;0.497;0.461;0.454
5;n;1;0.174;0.23;0.174;0.005;0.192;0.099;0.917;0.405;0.913;0.27;0.501;0.258;0.968;0.979;0.37;0.428;0.743;0.633
6;mc;1;0.046;0.681;0.374;0.816;0.705;0.405;0.75;0.053;0.229;0.446;0.008;0.062;0.68;0.797;0.354;0.41;0.797;0.731
7;clay;1;0.191;0.569;0.691;0.013;0.625;0.989;0.626;0.193;0.214;0.472;0.78;0.483;0.135;0.104;0.064;0.373;0.083;0.04
8;intensity;1;0.87;0.075;0.268;0.007;0.868;0.528;0.007;0.93;0.11;0.368;0.418;0.468;0.9;0.91;0.248;0.278;0.58;0.241
9;fertilisation;1;0.808;0.931;0.368;0.174;0.629;0.424;0.742;0.417;0.302;0.599;0.18;0.224;0.649;0.755;0.287;0.213;0.158;0.432
10;ata1;1;0.619;0.89;0.379;0.05;0.735;0.238;0.251;0.006;0.011;0.449;0.015;0.49;0.543;0.522;0.002;0.001;0.043;0.02
11;prec1;1;0.934;0.464;0.297;0.522;0.708;0.379;0.531;0.384;0.964;0.232;0.434;0.542;0.719;0.858;0.747;0.97;0.941;0.699
12;age_class:samcam;4;0.738;0.654;0.621;0.272;0.364;0.34;0.775;0.565;0.454;0.933;0.385;0.568;0.588;0.449;0;0;0;0
