"","Env","Df","N","MI","MI2.5","PPI","summedMI","summedMI2.5","PPI.MI","BI","EI","SI","CI","NCR","SR","rarefy","H","D","J","H1"
"1","(Intercept)","1","0","0.44","0.435","0.039","0.282","0.243","0.111","0.026","0.803","0.719","0.083","0.398","0.532","0.48","0.967","0.576","0.208","0.325"
"2","age_class","4","0.985","0.582","0.946","0","0.318","0.497","0.04","0.642","0.187","0.984","0.732","0.995","0.589","0.437","0","0","0","0"
"3","samcam","1","0.132","0.579","0.606","0.125","0.532","0.544","0.643","0.701","0.893","0.558","0.141","0.354","0.903","0.912","0.781","0.476","0.399","0.705"
"4","pH","1","0.808","0.409","0.568","0.217","0.721","0.751","0.238","0.67","0.783","0.528","0.668","0.978","0.83","0.893","0.548","0.839","0.401","0.427"
"5","c","1","0.385","0.904","0.719","0.297","0.959","0.592","0.405","0.387","0.468","0.838","0.097","0.105","0.441","0.468","0.605","0.914","0.957","0.683"
"6","mc","1","0.083","0.379","0.305","0.792","0.461","0.36","0.424","0.098","0.494","0.357","0.045","0.195","0.403","0.509","0.534","0.851","0.691","0.738"
"7","clay","1","0.221","0.524","0.791","0.019","0.624","0.924","0.625","0.206","0.205","0.552","0.759","0.483","0.125","0.096","0.049","0.155","0.071","0.038"
"8","intensity","1","0.588","0.195","0.492","0.003","0.582","0.317","0.006","0.763","0.116","0.565","0.253","0.293","0.973","0.976","0.385","0.508","0.657","0.272"
"9","fertilisation","1","0.506","0.83","0.288","0.134","0.544","0.302","0.673","0.261","0.266","0.483","0.067","0.075","0.587","0.695","0.174","0.102","0.132","0.334"
"10","ata1","1","0.648","0.974","0.361","0.042","0.72","0.274","0.278","0.007","0.012","0.434","0.011","0.533","0.485","0.468","0.005","0.008","0.047","0.022"
"11","prec1","1","0.979","0.346","0.282","0.652","0.605","0.364","0.405","0.386","0.807","0.213","0.572","0.649","0.882","0.984","0.902","0.708","0.964","0.719"
"12","age_class:samcam","4","0.703","0.504","0.547","0.133","0.244","0.294","0.803","0.623","0.386","0.88","0.511","0.603","0.666","0.501","0","0","0","0"
