"","Aphelenchidae","Aphelenchoididae","Panagrolaimidae","Rhabditidae","Cephalobidae","Plectidae","Qudsianematidae","Aporcelaimidae","Thornenematidae","Mononchidae","Psilenchidae","Tylenchidae","Telotylenchidae","Hoplolaimidae","Pratylenchidae"
"1",2,1,1,0,7,0,1,0,1,1,3,7,0,72,0
"2",1,1,1,0,9,1,0,0,5,0,0,2,1,76,0
"3",3,1,7,5,8,0,1,0,0,0,0,12,0,63,0
"4",0,9,2,2,15,1,0,1,1,3,0,46,18,0,1
"5",5,3,0,13,18,1,4,1,0,1,0,52,1,1,0
"6",2,1,1,7,7,5,0,5,0,0,0,1,45,26,0
"7",4,12,22,4,26,2,5,0,2,2,0,8,11,1,0
"8",4,7,17,9,12,2,5,1,1,1,0,23,3,13,0
"9",29,8,2,4,31,0,0,1,0,0,0,11,14,0,0
"10",1,12,17,6,19,3,3,0,0,0,0,35,1,2,0
"11",0,0,3,2,14,3,3,0,3,4,0,6,1,59,0
"12",7,1,9,10,27,1,1,2,0,0,0,6,2,31,0
"13",1,1,3,15,6,6,4,6,1,1,0,32,5,5,6
"14",1,2,7,14,52,2,1,0,0,1,0,14,0,1,5
"15",0,15,2,2,23,0,0,3,2,0,0,14,25,11,2
"16",11,0,0,2,10,2,1,2,3,3,0,24,3,47,0
"17",5,0,0,8,15,4,0,1,1,3,0,9,3,57,0
"18",9,8,0,6,18,2,1,1,1,2,0,12,3,46,0
"19",12,5,1,8,35,3,2,0,0,3,0,31,6,2,0
"20",8,2,0,7,18,5,11,12,0,4,0,40,4,11,0
"21",9,4,11,3,16,3,3,2,0,3,0,9,16,29,1
"22",19,2,0,2,23,1,1,1,0,3,3,27,15,12,0
"23",0,0,2,18,58,5,2,9,0,7,0,8,0,9,0
"24",21,7,0,12,51,0,0,1,0,0,0,4,7,0,0
"25",2,2,1,4,12,3,4,12,0,6,1,52,0,1,0
"26",0,1,0,3,2,3,0,1,2,5,0,1,30,56,0
"27",14,4,0,1,18,3,0,2,0,0,1,2,63,4,0
"28",2,0,1,11,8,4,3,1,2,0,3,28,11,17,3
"29",0,2,3,11,10,36,1,3,0,0,0,1,28,5,0
"30",1,3,0,2,75,3,1,5,2,0,0,8,4,3,7
