"","Sp.1","Sp.2","Sp.3","Sp.4","Sp.5","Sp.6","Sp.7","Sp.8","Sp.9","Sp.10","Sp.11","Sp.12","Sp.13","Sp.14","Sp.15"
"1",32,14,27,14,68,8,18,9,10,78,4,7,4,4,62
"2",15,15,21,16,37,8,15,11,12,61,4,4,6,6,22
"3",24,14,25,17,71,10,17,12,11,44,4,6,5,7,12
"4",16,3,9,6,35,11,6,6,5,81,10,9,4,6,16
"5",23,4,3,5,43,12,12,5,5,10,6,10,4,4,65
"6",5,6,10,3,36,11,11,7,6,79,10,11,4,5,70
"7",18,4,0,5,47,6,6,7,0,69,3,11,5,6,68
"8",5,3,0,5,49,5,5,6,0,32,3,3,4,5,10
"9",10,3,0,4,9,9,3,4,0,64,5,5,3,5,68
"10",5,4,3,3,35,7,6,6,4,19,5,11,3,5,7
"11",11,5,6,3,47,9,6,7,5,17,5,12,5,4,16
"12",7,6,10,4,21,3,4,7,7,16,3,9,6,4,41
"13",16,1,5,0,4,0,0,0,0,33,2,4,4,5,73
"14",10,2,1,0,24,5,0,3,1,24,4,10,4,4,8
"15",8,0,4,0,4,6,2,3,0,5,5,10,4,7,59
"16",30,13,28,16,34,7,19,11,10,21,3,7,4,5,73
"17",31,14,24,13,34,14,13,8,12,12,5,5,4,4,14
"18",25,15,19,14,34,10,17,11,7,74,5,9,4,4,75
"19",12,5,8,5,21,11,7,5,3,60,8,10,5,5,40
"20",13,6,11,6,36,3,9,5,5,27,6,10,5,4,69
"21",13,3,11,7,42,10,4,7,7,10,9,5,4,6,72
"22",12,3,0,6,5,7,4,4,0,17,4,3,3,6,13
"23",22,6,0,3,21,9,7,3,0,36,6,10,4,5,48
"24",21,6,0,4,22,7,7,4,0,27,5,12,4,5,12
"25",20,6,5,6,53,3,5,7,7,57,3,8,5,6,75
"26",9,3,7,7,45,9,3,6,6,75,3,7,4,5,62
"27",18,5,7,4,41,8,6,3,4,27,5,3,3,5,65
"28",5,2,2,1,4,3,1,0,1,48,5,11,5,5,65
"29",10,0,4,1,31,7,0,2,2,17,4,2,5,4,75
"30",2,0,3,2,11,0,2,3,2,43,2,4,5,4,74
